label,RNA_conc_ng_ul,PNA,strain,clone,treatment_time_h,unique_identifier
Wt_1,92,H2O,wt,clone_1,1,wt_clone1_H2O_1h
Wt992_2,90,PPNA_clbR,wt,clone_1,1,wt_clone1_PPNAclbR_1h
Wt22_3,78,PPNA_nt_control,wt,clone_1,1,wt_clone1_PPNAntctrl_1h
Wt2107_4,104,PPNA_clbR_mm,wt,clone_1,1,wt_clone1_PPNAclbRmm_1h
R_5,93,H2O,delta_clbR,clone_1,1,dclbR_clone1_H2O_1h
R22_6,103,PPNA_nt_control,delta_clbR,clone_1,1,dclbR_clone1_PPNAntctrl_1h
R2107_7,72,PPNA_clbR_mm,delta_clbR,clone_1,1,dclbR_clone1_PPNAclbRmm_1h
Wt_8,43,H2O,wt,clone_2,1,wt_clone2_H2O_1h
Wt992_9,94,PPNA_clbR,wt,clone_2,1,wt_clone2_PPNAclbR_1h
Wt22_10,75,PPNA_nt_control,wt,clone_2,1,wt_clone2_PPNAntctrl_1h
Wt2107_11,97,PPNA_clbR_mm,wt,clone_2,1,wt_clone2_PPNAclbRmm_1h
R_12,94,H2O,delta_clbR,clone_2,1,dclbR_clone2_H2O_1h
R22_13,94,PPNA_nt_control,delta_clbR,clone_2,1,dclbR_clone2_PPNAntctrl_1h
R2107_14,66,PPNA_clbR_mm,delta_clbR,clone_2,1,dclbR_clone2_PPNAclbRmm_1h
Wt_15,87,H2O,wt,clone_3,1,wt_clone3_H2O_1h
Wt992_16,104,PPNA_clbR,wt,clone_3,1,wt_clone3_PPNAclbR_1h
Wt22_17,90,PPNA_nt_control,wt,clone_3,1,wt_clone3_PPNAntctrl_1h
Wt2107_18,92,PPNA_clbR_mm,wt,clone_3,1,wt_clone3_PPNAclbRmm_1h
R_19,59,H2O,delta_clbR,clone_3,1,dclbR_clone3_H2O_1h
R22_20,50,PPNA_nt_control,delta_clbR,clone_3,1,dclbR_clone3_PPNAntctrl_1h
R2107_21,96,PPNA_clbR_mm,delta_clbR,clone_3,1,dclbR_clone3_PPNAclbRmm_1h
Wt_22,80,H2O,wt,clone_1,4,wt_clone1_H2O_4h
Wt992_23,152,PPNA_clbR,wt,clone_1,4,wt_clone1_PPNAclbR_4h
Wt22_24,125,PPNA_nt_control,wt,clone_1,4,wt_clone1_PPNAntctrl_4h
Wt2107_25,58,PPNA_clbR_mm,wt,clone_1,4,wt_clone1_PPNAclbRmm_4h
R_26,48,H2O,delta_clbR,clone_1,4,dclbR_clone1_H2O_4h
R22_27,120,PPNA_nt_control,delta_clbR,clone_1,4,dclbR_clone1_PPNAntctrl_4h
R2107_28,98,PPNA_clbR_mm,delta_clbR,clone_1,4,dclbR_clone1_PPNAclbRmm_4h
Wt_29,131,H2O,wt,clone_2,4,wt_clone2_H2O_4h
Wt992_30,99,PPNA_clbR,wt,clone_2,4,wt_clone2_PPNAclbR_4h
Wt22_31,138,PPNA_nt_control,wt,clone_2,4,wt_clone2_PPNAntctrl_4h
Wt2107_32,171,PPNA_clbR_mm,wt,clone_2,4,wt_clone2_PPNAclbRmm_4h
R_33,148,H2O,delta_clbR,clone_2,4,dclbR_clone2_H2O_4h
R22_34,145,PPNA_nt_control,delta_clbR,clone_2,4,dclbR_clone2_PPNAntctrl_4h
R2107_35,127,PPNA_clbR_mm,delta_clbR,clone_2,4,dclbR_clone2_PPNAclbRmm_4h
Wt_36,163,H2O,wt,clone_3,4,wt_clone3_H2O_4h
Wt992_37,227,PPNA_clbR,wt,clone_3,4,wt_clone3_PPNAclbR_4h
Wt22_38,118,PPNA_nt_control,wt,clone_3,4,wt_clone3_PPNAntctrl_4h
Wt2107_39,103,PPNA_clbR_mm,wt,clone_3,4,wt_clone3_PPNAclbRmm_4h
R_40,113,H2O,delta_clbR,clone_3,4,dclbR_clone3_H2O_4h
R22_41,159,PPNA_nt_control,delta_clbR,clone_3,4,dclbR_clone3_PPNAntctrl_4h
R2107_42,135,PPNA_clbR_mm,delta_clbR,clone_3,4,dclbR_clone3_PPNAclbRmm_4h
